timestamp,role,org_size,industry,team_focus,storage_environment,orchestration,ai_usage_frequency,ai_helps_with,ai_adoption,modeling_approach,modeling_pain_points,architecture_trend,biggest_bottleneck,team_growth_2026,education_topic,industry_wish,region
55:05.0,Data PM,"1,000–10,000",Retail/e-commerce,"Ingestion / pipelines, Fighting fires","Cloud data warehouse (Snowflake, BigQuery, Redshift, etc.)",Airflow,Multiple times per day,"Writing Code (SQL, Python, etc), Documentation / data discovery",Building internal AI platforms,Data Vault,None / modeling is going well,Data mesh / federated ownership,Poor requirements / upstream issues,Grow,Data modeling,,Europe (EU / UK)
04:13.7,Data Engineer,200–999,Retail/e-commerce,"Data modeling / transformation, Analytics / BI",Cloud PostgreSQL/MySQL,No orchestration / ad-hoc,Daily,"Writing Code (SQL, Python, etc), Documentation / data discovery",AI embedded in most workflows,Kimball-style dimensional modeling,None / modeling is going well,Centralized warehouse,Poor requirements / upstream issues,Stay the same,AI/LLM integration,,Asia–Pacific
16:07.9,Data Architect,50–199,Tech,"Data modeling / transformation, Infrastructure / platform work","Cloud data warehouse (Snowflake, BigQuery, Redshift, etc.)",Data Factory & such on MS-stack.,Weekly,"Writing Code (SQL, Python, etc)",Experimenting,Mixed (depends on use case),"Lack of clear ownership, Pressure to “move fast”",Centralized warehouse,Tool complexity,Grow,Semantics / ontologies / knowledge graphs,,Europe (EU / UK)
29:56.7,Data Engineer,50–199,Retail/e-commerce,"Data modeling / transformation, Fighting fires","Cloud data warehouse (Snowflake, BigQuery, Redshift, etc.)",Airflow,Multiple times per day,"Writing Code (SQL, Python, etc), Documentation / data discovery",Building internal AI platforms,Kimball-style dimensional modeling,"Lack of clear ownership, Hard to maintain over time, Pressure to “move fast”",Centralized warehouse,Poor requirements / upstream issues,Stay the same,Architecture patterns,"The skills involved, software engineering requirements for tooling and platforms. ",Australia / New Zealand
36:05.8,Data Engineer,"10,000+",Tech,"Ingestion / pipelines, Data modeling / transformation","Cloud data warehouse (Snowflake, BigQuery, Redshift, etc.)",No orchestration / ad-hoc,Daily,"Writing Code (SQL, Python, etc), Documentation / data discovery",Building internal AI platforms,One Big Table,"Lack of clear ownership, Hard to maintain over time",Data mesh / federated ownership,Talent / hiring,Grow,Semantics / ontologies / knowledge graphs,,Europe (EU / UK)
41:59.3,Data Engineer,"10,000+",Finance,"Data modeling / transformation, Data quality / reliability","Cloud data warehouse (Snowflake, BigQuery, Redshift, etc.)",No orchestration / ad-hoc,Multiple times per day,"Writing Code (SQL, Python, etc), Architecture design",Building internal AI platforms,Ad-hoc / tables added as needed,Pressure to “move fast”,Centralized warehouse,Tool complexity,Grow,Career growth / leadership,,Europe (EU / UK)
49:06.4,Analytics Engineer,"1,000–10,000",Finance,"Ingestion / pipelines, Fighting fires",On-prem data warehouse,No orchestration / ad-hoc,Rarely,"Writing Code (SQL, Python, etc)",Experimenting,Mixed (depends on use case),"Lack of clear ownership, Pressure to “move fast”",Data mesh / federated ownership,Poor requirements / upstream issues,Stay the same,AI/LLM integration,domain knowleedge is key and it must be mandatory part of data projects,Europe (EU / UK)
05:03.4,Data Engineer,50–199,Tech,"Ingestion / pipelines, Analytics / BI, Fighting fires","Cloud data warehouse (Snowflake, BigQuery, Redshift, etc.)",Dbt,Multiple times per day,"Writing Code (SQL, Python, etc)",Experimenting,Mixed (depends on use case),"Lack of clear ownership, Pressure to “move fast”",Centralized warehouse,Poor requirements / upstream issues,Not sure,Data modeling,,Europe (EU / UK)
07:18.9,Data Engineer,< 50 employees,Tech,Ingestion / pipelines,On-prem data warehouse,Prefect,Daily,"Writing Code (SQL, Python, etc), Pipeline debugging",No meaningful adoption yet,Kimball-style dimensional modeling,AI tools produce inconsistent schemas,Centralized warehouse,Talent / hiring,Not sure,Data modeling,That we shouldn't do the job of 3 roles/titles while we should maintain the pipelines and the data quality,Middle East / Africa
27:27.4,AI Engineer,< 50 employees,Healthcare,"Data quality / reliability, Infrastructure / platform work, ML / AI",Mixed/hybrid,"Cloud-native (GCP Cloud Composer, AWS MWAA, etc.)",Multiple times per day,Documentation / data discovery,No meaningful adoption yet,Canonical/semantic models,"Lack of clear ownership, Hard to maintain over time",Centralized warehouse,Poor requirements / upstream issues,Grow,Semantics / ontologies / knowledge graphs,That it’s logic,Asia–Pacific
56:28.4,Data Engineer,200–999,Finance,"Ingestion / pipelines, Data modeling / transformation",On-prem data warehouse,Talend,Rarely,I don't find AI helpful,No meaningful adoption yet,Kimball-style dimensional modeling,Pressure to “move fast”,Centralized warehouse,Poor requirements / upstream issues,Stay the same,Semantics / ontologies / knowledge graphs,"That in practice it is never about how many tools one knows and how shiny the architecture is, but knowing the business and being able to communicate with the stakeholders on their own language (sometimes this literaly means using their vocabulary).
This was the main pillar in dimensional modeling and except for the cloud, I don't really see the industry has moved much since it was introduced in 1996.",Europe (EU / UK)
05:27.0,Data Engineer,"1,000–10,000",Tech,"Ingestion / pipelines, Data modeling / transformation, Data quality / reliability, Analytics / BI, Fighting fires",On-prem data warehouse,No orchestration / ad-hoc,Multiple times per day,"Writing Code (SQL, Python, etc), Data modeling",Using AI for tactical tasks,One Big Table,"Lack of clear ownership, Tools don’t support good modeling",Centralized warehouse,Legacy / technical debt,Shrink,Career growth / leadership,Data quality can't be compronised even during urgency,Asia–Pacific
24:44.4,Manager / Director / VP,"1,000–10,000",Public sector / Education,"ML / AI, Fighting fires",Mixed/hybrid,Dagster,Daily,"Writing Code (SQL, Python, etc), Documentation / data discovery",Using AI for tactical tasks,Kimball-style dimensional modeling,Pressure to “move fast”,Event-driven architecture,Lack of leadership direction,Grow,Streaming / event-driven systems,,Europe (EU / UK)
55:01.4,Manager / Director / VP,200–999,Tech,"Data modeling / transformation, Fighting fires","Cloud data warehouse (Snowflake, BigQuery, Redshift, etc.)",Airflow,Multiple times per day,"Writing Code (SQL, Python, etc), Architecture design",Using AI for tactical tasks,Kimball-style dimensional modeling,"Lack of clear ownership, Tools don’t support good modeling, Pressure to “move fast”",Data mesh / federated ownership,Legacy / technical debt,Stay the same,Career growth / leadership,Writing SQL is easy. Writing the correct SQL is hard.,Europe (EU / UK)
03:02.3,Data Engineer,"1,000–10,000",Retail/e-commerce,"Ingestion / pipelines, Data quality / reliability","Cloud data warehouse (Snowflake, BigQuery, Redshift, etc.)",Airflow,Daily,"Writing Code (SQL, Python, etc), Data modeling",Experimenting,Mixed (depends on use case),"Lack of clear ownership, Tools don’t support good modeling",Centralized warehouse,Legacy / technical debt,Stay the same,AI/LLM integration,,Europe (EU / UK)
09:21.6,Analytics Engineer,200–999,Finance,"Data quality / reliability, Analytics / BI, Fighting fires",Mixed/hybrid,No orchestration / ad-hoc,Weekly,"Writing Code (SQL, Python, etc), Documentation / data discovery, Data modeling, Architecture design",No meaningful adoption yet,Ad-hoc / tables added as needed,Lack of clear ownership,Centralized warehouse,Lack of leadership direction,Grow,Data modeling,I wish that data engineers and business stakeholders understand that both need to Walk on other shoes and give each other as much information as possible.,Middle East / Africa
39:24.5,Manager / Director / VP,< 50 employees,Tech,"Ingestion / pipelines, Data modeling / transformation, Analytics / BI","Cloud data warehouse (Snowflake, BigQuery, Redshift, etc.)",No orchestration / ad-hoc,Multiple times per day,"Writing Code (SQL, Python, etc), Documentation / data discovery",Using AI for tactical tasks,Data Vault,"AI tools produce inconsistent schemas, None / modeling is going well",Centralized warehouse,Talent / hiring,Grow,Semantics / ontologies / knowledge graphs,,Europe (EU / UK)
44:26.9,Data Architect,"1,000–10,000",Healthcare,"Ingestion / pipelines, Data modeling / transformation, Infrastructure / platform work, Analytics / BI, Fighting fires","Lakehouse (Databricks, Iceberg/Hudi/Delta + compute engine)",Data factory ,Multiple times per day,"Writing Code (SQL, Python, etc), Documentation / data discovery",Using AI for tactical tasks,Data Vault,"Hard to maintain over time, Tools don’t support good modeling, Pressure to “move fast”, AI tools produce inconsistent schemas",Lakehouse,Talent / hiring,Stay the same,AI/LLM integration,,Australia / New Zealand
12:18.7,Data Engineer,"1,000–10,000",Manufacturing / Industrial,"Ingestion / pipelines, Infrastructure / platform work",On-prem data warehouse,Airflow,Multiple times per day,"Writing Code (SQL, Python, etc), Documentation / data discovery",Experimenting,Ad-hoc / tables added as needed,"Lack of clear ownership, Hard to maintain over time, Tools don’t support good modeling, Pressure to “move fast”",Centralized warehouse,Legacy / technical debt,Stay the same,Data modeling,Data governance isn’t only data engineers responsibility,United States / Canada
33:17.2,Data Architect,"10,000+",Manufacturing / Industrial,"Ingestion / pipelines, Data quality / reliability","Cloud data warehouse (Snowflake, BigQuery, Redshift, etc.)",Home grown app over 20 years old,Daily,"Writing Code (SQL, Python, etc)",Building internal AI platforms,Mixed (depends on use case),"Lack of clear ownership, Pressure to “move fast”",Lakehouse,Poor requirements / upstream issues,Grow,Data modeling,"The ""shift left"" mindset that drives TDD in systems development applies just as much if not more in data; no amount of data engineering magic will fix poor data quality / definition / constraints at the sources.",United States / Canada
05:57.6,Data Architect,"10,000+",Tech,"Data modeling / transformation, Data quality / reliability, ML / AI",Mixed/hybrid,Airflow and Dagster ,Daily,"Writing Code (SQL, Python, etc), Pipeline debugging, Documentation / data discovery, Data modeling, Architecture design, Governance / quality checks",AI embedded in most workflows,Mixed (depends on use case),"Lack of clear ownership, Pressure to “move fast”, AI tools produce inconsistent schemas",Centralized warehouse,Lack of leadership direction,Grow,Data modeling,,Asia–Pacific
06:19.5,Data Architect,< 50 employees,Tech,"Data modeling / transformation, Data quality / reliability, Infrastructure / platform work",Mixed/hybrid,"Cloud-native (GCP Cloud Composer, AWS MWAA, etc.)",Daily,Documentation / data discovery,Using AI for tactical tasks,Canonical/semantic models,Pressure to “move fast”,Data mesh / federated ownership,Compute costs,Grow,AI/LLM integration,,United States / Canada
24:05.5,Data Engineer,< 50 employees,Tech,"Data modeling / transformation, Data quality / reliability",On-prem data warehouse,Dagster,Multiple times per day,"Writing Code (SQL, Python, etc), Pipeline debugging",No meaningful adoption yet,Kimball-style dimensional modeling,Lack of clear ownership,Centralized warehouse,Lack of leadership direction,Grow,AI/LLM integration,,Europe (EU / UK)
41:46.9,Manager / Director / VP,"1,000–10,000",Finance,"Data quality / reliability, Fighting fires","Cloud data warehouse (Snowflake, BigQuery, Redshift, etc.)","Cloud-native (GCP Cloud Composer, AWS MWAA, etc.)",Multiple times per day,"Writing Code (SQL, Python, etc), Documentation / data discovery, Data modeling, Architecture design, Governance / quality checks",Using AI for tactical tasks,Kimball-style dimensional modeling,Pressure to “move fast”,Centralized warehouse,Data quality,Stay the same,Streaming / event-driven systems,,Latin America
48:28.8,Data Engineer,200–999,Public sector / Education,"Data modeling / transformation, Data quality / reliability","Cloud data warehouse (Snowflake, BigQuery, Redshift, etc.)",Airflow,Multiple times per day,"Writing Code (SQL, Python, etc)",Using AI for tactical tasks,Kimball-style dimensional modeling,Pressure to “move fast”,Centralized warehouse,Lack of leadership direction,Stay the same,how to elevate data literacy of other employees,how foundational and important it is for the rest. give proper visibility to DE,Asia–Pacific
00:05.2,Analytics Engineer,50–199,Tech,Data modeling / transformation,"Cloud data warehouse (Snowflake, BigQuery, Redshift, etc.)",Airflow,Multiple times per day,"Writing Code (SQL, Python, etc), Pipeline debugging, Documentation / data discovery, Architecture design",AI embedded in most workflows,Canonical/semantic models,"Lack of clear ownership, Hard to maintain over time, Tools don’t support good modeling",Centralized warehouse,Legacy / technical debt,Grow,Data modeling,,Europe (EU / UK)
11:42.2,Data Engineer,< 50 employees,Tech,"Data modeling / transformation, Data quality / reliability","Lakehouse (Databricks, Iceberg/Hudi/Delta + compute engine)",Airflow,Multiple times per day,"Writing Code (SQL, Python, etc), Pipeline debugging, Documentation / data discovery",Using AI for tactical tasks,Mixed (depends on use case),Hard to maintain over time,Lakehouse,Legacy / technical debt,Grow,Streaming / event-driven systems,,United States / Canada
18:37.6,Analytics Engineer,200–999,Tech,"Data modeling / transformation, Data quality / reliability","Cloud data warehouse (Snowflake, BigQuery, Redshift, etc.)",Airflow,Weekly,Documentation / data discovery,Using AI for tactical tasks,Mixed (depends on author),Pressure to “move fast”,Centralized warehouse,"Planning to do more than we end up having time for.  So IDK, maybe talent?",Stay the same,Statistics,"It’s better when it doesn’t break, even if it’s less visible than fixing failures",United States / Canada
22:05.1,Manager / Director / VP,"10,000+",Public sector / Education,"Data quality / reliability, Infrastructure / platform work",On-prem data warehouse,Airflow,Multiple times per day,"Writing Code (SQL, Python, etc), Documentation / data discovery",Using AI for tactical tasks,Mixed (depends on use case),Pressure to “move fast”,Lakehouse,Data quality,Stay the same,AI/LLM integration,,Asia–Pacific
05:18.6,Software Engineer working on data,"1,000–10,000",Public sector / Education,"Ingestion / pipelines, Analytics / BI",On-prem data warehouse,Custom Tool,Multiple times per day,"Writing Code (SQL, Python, etc), Documentation / data discovery",Using AI for tactical tasks,Kimball-style dimensional modeling,"Tools don’t support good modeling, Pressure to “move fast”",Centralized warehouse,Lack of leadership direction,Grow,Reliability engineering,,United States / Canada
13:11.2,Data Engineer,"10,000+",Retail/e-commerce,"Ingestion / pipelines, Data modeling / transformation, Data quality / reliability","Cloud data warehouse (Snowflake, BigQuery, Redshift, etc.)","Cloud-native (GCP Cloud Composer, AWS MWAA, etc.)",Multiple times per day,"Writing Code (SQL, Python, etc), Pipeline debugging",Experimenting,Data Vault,Pressure to “move fast”,Centralized warehouse,Compute costs,Stay the same,Career growth / leadership,"i wish it gets same exposure as software engineering, bcoz if you look at it carefully the data we provide is the one that runs or breaks the company.",United States / Canada
19:24.5,Analytics Engineer,50–199,Healthcare,"Ingestion / pipelines, Infrastructure / platform work","Cloud data warehouse (Snowflake, BigQuery, Redshift, etc.)","Cloud-native (GCP Cloud Composer, AWS MWAA, etc.)",Daily,"Writing Code (SQL, Python, etc), Documentation / data discovery",No meaningful adoption yet,One Big Table,Lack of clear ownership,Centralized warehouse,Lack of leadership direction,Stay the same,Semantics / ontologies / knowledge graphs,,United States / Canada
33:08.3,Manager / Director / VP,< 50 employees,Finance,"Ingestion / pipelines, Analytics / BI","Lakehouse (Databricks, Iceberg/Hudi/Delta + compute engine)",Dagster,Multiple times per day,"Writing Code (SQL, Python, etc), Documentation / data discovery",Using AI for tactical tasks,Mixed (depends on use case),"Hard to maintain over time, Tools don’t support good modeling, Pressure to “move fast”",Event-driven architecture,Talent / hiring,Grow,Streaming / event-driven systems,It's much more important than model development.,United States / Canada
45:23.4,Data Scientist,"1,000–10,000",Finance,"ML / AI, Fighting fires",On-prem data warehouse,No orchestration / ad-hoc,Daily,"Writing Code (SQL, Python, etc), Pipeline debugging",Building internal AI platforms,Ad-hoc / tables added as needed,None / modeling is going well,Lakehouse,Talent / hiring,Grow,Semantics / ontologies / knowledge graphs,,Europe (EU / UK)
50:13.8,Data Engineer,< 50 employees,Tech,"Analytics / BI, Fighting fires","Cloud data warehouse (Snowflake, BigQuery, Redshift, etc.)",It depends,Multiple times per day,"Writing Code (SQL, Python, etc), Pipeline debugging, Documentation / data discovery",No meaningful adoption yet,Kimball-style dimensional modeling,"Lack of clear ownership, Hard to maintain over time",Centralized warehouse,Legacy / technical debt,Stay the same,Semantics / ontologies / knowledge graphs,The value it can bring,Europe (EU / UK)
08:51.0,Manager / Director / VP,"10,000+",Manufacturing / Industrial,"Data modeling / transformation, Fighting fires","Cloud data warehouse (Snowflake, BigQuery, Redshift, etc.)","Cloud-native (GCP Cloud Composer, AWS MWAA, etc.)",Multiple times per day,"Writing Code (SQL, Python, etc), Documentation / data discovery",Experimenting,Kimball-style dimensional modeling,Pressure to “move fast”,Lakehouse,Lack of leadership direction,Stay the same,AI/LLM integration,,Europe (EU / UK)
49:37.0,Data Engineer,"1,000–10,000",Tech,"Ingestion / pipelines, Data modeling / transformation","Lakehouse (Databricks, Iceberg/Hudi/Delta + compute engine)",Fabric,Multiple times per day,"Writing Code (SQL, Python, etc), Pipeline debugging, Documentation / data discovery, Data modeling, Architecture design, Governance / quality checks",Experimenting,Kimball-style dimensional modeling,"Tools don’t support good modeling, Pressure to “move fast”",Lakehouse,Lack of leadership direction,Grow,AI/LLM integration,,Europe (EU / UK)
52:52.8,Data Engineer,"1,000–10,000",Public sector / Education,Ingestion / pipelines,"Cloud data warehouse (Snowflake, BigQuery, Redshift, etc.)",Prefect,Multiple times per day,"Writing Code (SQL, Python, etc), Pipeline debugging, Documentation / data discovery, Governance / quality checks",AI embedded in most workflows,Ad-hoc / tables added as needed,Pressure to “move fast”,Centralized warehouse,Poor requirements / upstream issues,Stay the same,Data modeling,,Europe (EU / UK)
44:36.3,Manager / Director / VP,200–999,Tech,"Data modeling / transformation, Infrastructure / platform work","Lakehouse (Databricks, Iceberg/Hudi/Delta + compute engine)","Cloud-native (GCP Cloud Composer, AWS MWAA, etc.)",Daily,"Writing Code (SQL, Python, etc), Pipeline debugging, Documentation / data discovery, Governance / quality checks",Using AI for tactical tasks,Kimball-style dimensional modeling,Pressure to “move fast”,Lakehouse,Talent / hiring,Grow,Data modeling,,United States / Canada
57:13.5,Data Engineer,"10,000+",Tech,"Ingestion / pipelines, Data modeling / transformation","Cloud data warehouse (Snowflake, BigQuery, Redshift, etc.)",Airflow,Weekly,"Writing Code (SQL, Python, etc), Pipeline debugging",Using AI for tactical tasks,Ad-hoc / tables added as needed,"Lack of clear ownership, Hard to maintain over time, Pressure to “move fast”",Data mesh / federated ownership,Poor requirements / upstream issues,Stay the same,Semantics / ontologies / knowledge graphs,"We're not order takers, but rather developers who should be incentivized to build great products people love.",United States / Canada
03:00.3,Data Architect,< 50 employees,Tech,"Data modeling / transformation, Data quality / reliability","Cloud data warehouse (Snowflake, BigQuery, Redshift, etc.)",Airflow,Daily,"Writing Code (SQL, Python, etc), Data modeling",Using AI for tactical tasks,Canonical/semantic models,Lack of clear ownership,Centralized warehouse,Talent / hiring,Stay the same,Streaming / event-driven systems,"Primary goal is to help business end-user, not technology adoption.",Europe (EU / UK)
06:53.5,Data Engineer,200–999,Retail/e-commerce,Infrastructure / platform work,"Cloud data warehouse (Snowflake, BigQuery, Redshift, etc.)",Airflow,Daily,"Writing Code (SQL, Python, etc), Pipeline debugging",Using AI for tactical tasks,Mixed (depends on use case),"Hard to maintain over time, Pressure to “move fast”",Data mesh / federated ownership,Legacy / technical debt,Stay the same,Architecture patterns,,Europe (EU / UK)
10:36.1,Data Engineer,< 50 employees,Tech,"Ingestion / pipelines, Data modeling / transformation, Infrastructure / platform work, Analytics / BI, ML / AI",Cloud PostgreSQL/MySQL,Mage,Daily,"Writing Code (SQL, Python, etc), Pipeline debugging, Documentation / data discovery",Using AI for tactical tasks,Canonical/semantic models,None / modeling is going well,Lakehouse,Sales,Shrink,AI/LLM integration,,Europe (EU / UK)
36:49.5,Data Architect,"1,000–10,000",Public sector / Education,"Data modeling / transformation, Fighting fires",On-prem data warehouse,Airflow,Multiple times per day,"Pipeline debugging, Architecture design",Experimenting,Data Vault,"Lack of clear ownership, Pressure to “move fast”",Lakehouse,Legacy / technical debt,Grow,AI/LLM integration,,Europe (EU / UK)
56:17.8,Data Engineer,200–999,Retail/e-commerce,"Data modeling / transformation, Data quality / reliability, Infrastructure / platform work",Mixed/hybrid,Airflow,Multiple times per day,"Writing Code (SQL, Python, etc)",Using AI for tactical tasks,Mixed (depends on use case),Pressure to “move fast”,Centralized warehouse,Legacy / technical debt,Stay the same,Semantics / ontologies / knowledge graphs,Ai chat with data ,Europe (EU / UK)
12:00.9,Data Architect,"1,000–10,000",Retail/e-commerce,"Ingestion / pipelines, Fighting fires","Cloud data warehouse (Snowflake, BigQuery, Redshift, etc.)",Airflow,Multiple times per day,"Writing Code (SQL, Python, etc), Pipeline debugging",Experimenting,Ad-hoc / tables added as needed,"Lack of clear ownership, Tools don’t support good modeling, Pressure to “move fast”",Centralized warehouse,Poor requirements / upstream issues,Grow,Semantics / ontologies / knowledge graphs,,United States / Canada
01:57.0,Data Engineer,50–199,Tech,Ingestion / pipelines,"Cloud data warehouse (Snowflake, BigQuery, Redshift, etc.)",Airflow,Rarely,"Writing Code (SQL, Python, etc)",No meaningful adoption yet,Mixed (depends on use case),"Hard to maintain over time, Pressure to “move fast”",Centralized warehouse,Legacy / technical debt,Stay the same,Architecture patterns,Important of data modeling ,United States / Canada
49:11.3,Data Engineer,50–199,Tech,"Ingestion / pipelines, Data quality / reliability","Lakehouse (Databricks, Iceberg/Hudi/Delta + compute engine)",Airflow,Weekly,Documentation / data discovery,Experimenting,One Big Table,"Lack of clear ownership, Pressure to “move fast”",Lakehouse,Poor requirements / upstream issues,Grow,Data modeling,,United States / Canada
10:10.1,Manager / Director / VP,< 50 employees,Tech,"Ingestion / pipelines, Fighting fires",Cloud PostgreSQL/MySQL,No orchestration / ad-hoc,Daily,"Writing Code (SQL, Python, etc), Documentation / data discovery, Architecture design",AI embedded in most workflows,Mixed (depends on use case),"Hard to maintain over time, Pressure to “move fast”",Event-driven architecture,Ingest quality,Grow,Architecture patterns,It always takes longer than you think,United States / Canada
25:40.0,Manager / Director / VP,200–999,Public sector / Education,"Data quality / reliability, Fighting fires",Mixed/hybrid,qlik talend,Multiple times per day,"Writing Code (SQL, Python, etc), Documentation / data discovery",Experimenting,Kimball-style dimensional modeling,Pressure to “move fast”,Centralized warehouse,Talent / hiring,Grow,Semantics / ontologies / knowledge graphs,"the importance of good data because of the pain it causes.. understanding the dataa is the proff that you did job correctly because its the trail..
",United States / Canada
18:27.1,Software Engineer working on data,50–199,Tech,"Data modeling / transformation, Fighting fires","Cloud data warehouse (Snowflake, BigQuery, Redshift, etc.)",Custom application,Multiple times per day,"Writing Code (SQL, Python, etc), Documentation / data discovery",Using AI for tactical tasks,Mixed (depends on use case),Tools don’t support good modeling,Centralized warehouse,Data quality,Grow,Data modeling,,United States / Canada
04:29.4,Manager / Director / VP,"1,000–10,000",Public sector / Education,"Ingestion / pipelines, Data modeling / transformation","Lakehouse (Databricks, Iceberg/Hudi/Delta + compute engine)",Airflow,Rarely,Documentation / data discovery,No meaningful adoption yet,Mixed (depends on use case),"Lack of clear ownership, Hard to maintain over time, Pressure to “move fast”",Data mesh / federated ownership,Lack of leadership direction,Grow,Architecture patterns,"Data has to be driven from a shared business roadmap, have an isolated view creates isolated data",Australia / New Zealand
12:43.4,Data Engineer,"10,000+",Retail/e-commerce,"Ingestion / pipelines, Data modeling / transformation, Data quality / reliability, ML / AI","Cloud data warehouse (Snowflake, BigQuery, Redshift, etc.)",Control-M :(,Multiple times per day,"Writing Code (SQL, Python, etc), Pipeline debugging, Documentation / data discovery",Experimenting,Event-driven modeling,Pressure to “move fast”,Data mesh / federated ownership,Data quality,Shrink,Career growth / leadership,,Australia / New Zealand
19:46.0,Data Engineer,"10,000+",Finance,"Data modeling / transformation, Infrastructure / platform work",On-prem data warehouse,No orchestration / ad-hoc,Weekly,"Writing Code (SQL, Python, etc), Documentation / data discovery",Experimenting,Mixed (depends on use case),Hard to maintain over time,Centralized warehouse,Tool complexity,Stay the same,Data modeling,,Europe (EU / UK)
02:46.4,Manager / Director / VP,"1,000–10,000",Tech,"Data modeling / transformation, Data quality / reliability",Mixed/hybrid,Airflow,Daily,"Writing Code (SQL, Python, etc), Architecture design",Using AI for tactical tasks,Mixed (depends on use case),"Lack of clear ownership, Pressure to “move fast”",It depends,Lack of leadership direction,Shrink,Semantics / ontologies / knowledge graphs,That AI / LLM / Agents do not solve magically the need for data / software engineering best practices,Europe (EU / UK)
11:40.1,Data Engineer,"1,000–10,000",Tech,"Ingestion / pipelines, Data modeling / transformation, Data quality / reliability","Cloud data warehouse (Snowflake, BigQuery, Redshift, etc.)",own,Multiple times per day,"Writing Code (SQL, Python, etc), Documentation / data discovery",Building internal AI platforms,Kimball-style dimensional modeling,Pressure to “move fast”,Lakehouse,Legacy / technical debt,Stay the same,Streaming / event-driven systems,,United States / Canada
51:25.1,Data Engineer,"10,000+",Finance,"Ingestion / pipelines, Data modeling / transformation, Data quality / reliability, Infrastructure / platform work","Cloud data warehouse (Snowflake, BigQuery, Redshift, etc.)",Airflow,Multiple times per day,"Writing Code (SQL, Python, etc), Pipeline debugging, Architecture design",Using AI for tactical tasks,Kimball-style dimensional modeling,"Hard to maintain over time, Tools don’t support good modeling",Centralized warehouse,Tool complexity,Grow,Architecture patterns,,Australia / New Zealand
53:40.3,Manager / Director / VP,200–999,Tech,"Infrastructure / platform work, Analytics / BI",On-prem data warehouse,Dagster,Daily,"Writing Code (SQL, Python, etc), Documentation / data discovery",Using AI for tactical tasks,Mixed (depends on use case),Pressure to “move fast”,Lakehouse,Legacy / technical debt,Grow,AI/LLM integration,,Europe (EU / UK)
17:10.5,Data Architect,"10,000+",Tech,"Ingestion / pipelines, Data quality / reliability, Analytics / BI","Cloud data warehouse (Snowflake, BigQuery, Redshift, etc.)","Cloud-native (GCP Cloud Composer, AWS MWAA, etc.)",Multiple times per day,"Writing Code (SQL, Python, etc), Documentation / data discovery, Architecture design, Governance / quality checks",Experimenting,Mixed (depends on use case),"Lack of clear ownership, Hard to maintain over time, Pressure to “move fast”",Lakehouse,Poor requirements / upstream issues,Grow,Data modeling,,Asia–Pacific
19:20.1,Data Engineer,< 50 employees,Healthcare,"Ingestion / pipelines, Data quality / reliability","Cloud data warehouse (Snowflake, BigQuery, Redshift, etc.)",own platform,Daily,"Writing Code (SQL, Python, etc), Data modeling, Architecture design",AI embedded in most workflows,Mixed (depends on use case),Pressure to “move fast”,Centralized warehouse,Data quality,Grow,AI/LLM integration,,Latin America
27:42.8,Data Engineer,200–999,Tech,"Data modeling / transformation, Data quality / reliability",On-prem data warehouse,No orchestration / ad-hoc,Multiple times per day,"Writing Code (SQL, Python, etc), Data modeling",Using AI for tactical tasks,Event-driven modeling,"Lack of clear ownership, Pressure to “move fast”",Event-driven architecture,Data quality,Grow,Data modeling,,Asia–Pacific
10:22.6,Data Engineer,"1,000–10,000",Retail/e-commerce,"Ingestion / pipelines, Infrastructure / platform work, Fighting fires",Mixed/hybrid,Cron on EC2,Multiple times per day,"Writing Code (SQL, Python, etc), Pipeline debugging, Documentation / data discovery",Experimenting,Mixed (depends on use case),Lack of clear ownership,Centralized warehouse,Poor requirements / upstream issues,Stay the same,AI/LLM integration,How critical it is for anything to do with data.,Australia / New Zealand
17:08.0,Software Engineer working on data,< 50 employees,Tech,"Ingestion / pipelines, Data modeling / transformation","Cloud data warehouse (Snowflake, BigQuery, Redshift, etc.)","Cloud-native (GCP Cloud Composer, AWS MWAA, etc.)",Daily,"Writing Code (SQL, Python, etc), Pipeline debugging",Experimenting,Mixed (depends on use case),"Lack of clear ownership, Pressure to “move fast”",Centralized warehouse,Compute costs,Stay the same,Architecture patterns,Adopt a more functional / declarative style approach in the tools being built,Europe (EU / UK)
53:32.4,Data Engineer,"1,000–10,000",Public sector / Education,"Ingestion / pipelines, Analytics / BI",Mixed/hybrid,"Cloud-native (GCP Cloud Composer, AWS MWAA, etc.)",Weekly,"Writing Code (SQL, Python, etc)",Experimenting,Kimball-style dimensional modeling,Hard to maintain over time,Centralized warehouse,Legacy / technical debt,Stay the same,Reliability engineering,Better coaching and knowledge transfer from the seniors to the newbies is very important.,United States / Canada
39:40.7,Data Engineer,50–199,Tech,"Ingestion / pipelines, Data modeling / transformation","Lakehouse (Databricks, Iceberg/Hudi/Delta + compute engine)",Dagster,Weekly,"Writing Code (SQL, Python, etc)",Using AI for tactical tasks,Kimball-style dimensional modeling,Pressure to “move fast”,Centralized warehouse,Lack of leadership direction,Stay the same,Architecture patterns,Build a data team does not magically tell the industry what best to do/ which data to produce or collect. ,Asia–Pacific
